student_id,student_name,attendance_status
1,John Smith,PRESENT
2,Emma Johnson,PRESENT
3,Michael Brown,PRESENT
4,Sophia Davis,PRESENT
5,James Wilson,PRESENT
6,Olivia Martinez,PRESENT
7,William Anderson,PRESENT
8,Ava Taylor,PRESENT
9,Benjamin Thomas,PRESENT
10,Isabella Garcia,PRESENT
11,Lucas Rodriguez,PRESENT
12,Mia Lee,PRESENT
13,Mason White,PRESENT
14,Charlotte Harris,PRESENT
15,Ethan Clark,PRESENT
16,Amelia Lewis,PRESENT
17,Alexander Walker,PRESENT
18,Harper Hall,PRESENT
19,Daniel Allen,PRESENT
20,Evelyn Young,PRESENT
