date,student_id,student_name,attendance_status,creation_date
2025-11-27,1,Lionel Messi,PRESENT,2025-11-26
2025-11-27,2,Cristiano Ronaldo,PRESENT,2025-11-26
2025-11-27,3,Kylian Mbappe,PRESENT,2025-11-26
2025-11-27,4,Erling Haaland,PRESENT,2025-11-26
2025-11-27,5,Kevin De Bruyne,PRESENT,2025-11-26
2025-11-27,6,Neymar Jr,ABSENT,2025-11-26
2025-11-27,7,Luka Modric,PRESENT,2025-11-26
2025-11-27,8,Robert Lewandowski,PRESENT,2025-11-26
2025-11-27,9,Mohamed Salah,PRESENT,2025-11-26
2025-11-27,10,Virgil van Dijk,PRESENT,2025-11-26
2025-11-27,11,Sergio Ramos,PRESENT,2025-11-26
2025-11-27,12,Harry Kane,PRESENT,2025-11-26
2025-11-27,13,Karim Benzema,PRESENT,2025-11-26
2025-11-27,14,Andres Iniesta,PRESENT,2025-11-26
2025-11-27,15,Lamine Yamal,PRESENT,2025-11-26
2025-11-27,16,Sadio Mane,PRESENT,2025-11-26
2025-11-27,17,Antoine Griezmann,ABSENT,2025-11-26
2025-11-27,18,Vinicius Junior,PRESENT,2025-11-26
2025-11-27,19,Harry Maguire,PRESENT,2025-11-26
2025-11-27,20,Jude Bellingham,ABSENT,2025-11-26
